actual,predicted
startseq in this image we can see three men in yellow color jacket are sitting in an orange color boat which is running in sea we can also see some other objects on that boat and in background we can see clear blue sky endseq,startseq in this image can see people on wearing person on on on the the see the the see the the see the the see the the see the the see the the see the the see the the see the the see the the see the the see the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the the of the the see the
startseq in this picture we can see small childrens are playing one person is sitting and doing some kind of thing beside there is bucket there are wooden chairs back side there are trees and some plants endseq,startseq in this image we see three three three three three where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and where see and
startseq in this image we can see tower building along with the pillars endseq,startseq this image see person endseq
startseq in this image can see boy lying on the bed and it looks like he has bandage on his hand there is pillow and few objects visible on the left side which are attached to the wall and railing on the left endseq,startseq in this image can see woman wearing wearing wearing and see and the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the
startseq in this picture it looks like train endseq,startseq in this we can see man standing endseq
startseq in this picture we can see market where we can see group of people sitting and purchasing the items under the tents some people are standing and purchasing them beside there are houses huts top there is clear sky endseq,startseq in the image can see people endseq
startseq this image consists of many people endseq,startseq in the see can see few few people endseq
startseq in front of the image there is woman standing on the pavement with baby in her arms endseq,startseq in the can see few few few people endseq
startseq in this picture we can see at the edge of the beach where we can see woman holding umbrella and cup in hand standing on sand back side there is tent and there is text on top of it group of people standing wearing hat and some people are holding bags one person holding cycle there is text on banner top there is sky endseq,startseq in this picture can see people and people endseq
startseq in this image we can see man in black color pant is jumping into swimming pool endseq,startseq this image is dogs on endseq
startseq in this image can see four people the front two women are having specs and can also see table the right side man is in tshirt jeans with shades and he is holding something in his hands polythene covers with some items bottles floor door light roof wall windows glasses something looking like stove plants reflection of trees wires and sky endseq,startseq in the image can see woman and people and some some and are and some some and are and some some and are and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and some some and are and behind see and behind see and some some and are and behind see and behind see and behind see and behind see and
startseq in this image there is woman holding camera and clicking images around the women there are few people endseq,startseq in this image can see woman and wearing some some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some and of some
startseq in this image we can see man in black color shirt is driving red color car on which something is written on road we can also see man in red color shirt in side the car and some green color boxes on the top of the car endseq,startseq in this picture can observe man man and and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see
startseq in this picture can see lion running and trying to catch an animal on the right side endseq,startseq in this picture see dog like dog endseq
startseq in the middle of the picture we see man who is wearing red helmet and the black gloves is standing and he is holding pipe in his hand endseq,startseq this image see person endseq
startseq in this image can see brown color dog wearing belt is playing with ball on grass endseq,startseq in this picture can see three woman on the ground on on on on on on the ground endseq
startseq in this image there are people and we can see foam on peoples chins some are wearing coats one of them is wearing cap and holding shaver endseq,startseq in this image can see person wearing wearing wearing mask and and is and and is and and is and behind see and is and behind see and is and behind see and is and behind see and is and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is and behind see and behind see and is
startseq in this picture we can see small boy sitting on bike beside there are small shops with text on boards other side there is road and two persons are walking beside there is building with glass windows and there are pot plants top there is sky endseq,startseq in the image can see person endseq
startseq in front of the image there is person holding an umbrella and bag in her hands endseq,startseq in this image can see person on on on endseq
startseq in this picture we can see three persons playing on ground with ball beside there is green grass and big ground endseq,startseq in this image can see person on on on on endseq
startseq in this picture can observe some people sitting on the land endseq,startseq in the image can see people standing endseq
startseq in this picture we can see man wearing helmet and sliding on the wall endseq,startseq in this image can see person on endseq
startseq in this image there are people standing in the water endseq,startseq in this image can see woman and woman and and woman and and see and and see and and see and woman and and woman and and see and and see and and see and and see and woman and and woman and and woman and and see and and see and and see and and see and woman and and woman and and woman and and see and and see and and see and and see and and see and woman and and woman and and woman and and woman and and see and and see and and see and and see and and see and and see and woman and and woman and and woman and and woman and and woman and and see and and see and and see and and see and and see and and see and and see and woman and and woman and and woman and and woman and and woman and and woman and and see and and see and and see and and
startseq in this picture can see person standing in front and can see another person on the cycle and see that the cycle is in air endseq,startseq in this image there see person on wearing wearing holding endseq
startseq in this image see couple of persons standing on skating field and fighting while wearing helmets besides them see another man standing wearing helmet endseq,startseq in this image we see person on on endseq
startseq in this picture can see two men man wearing cap on his head and jacket endseq,startseq in this image we is man wearing wearing man wearing wearing his wearing wearing his wearing wearing his wearing wearing his wearing his endseq
startseq in this image there is person sitting on chair beside the person there is an umbrella endseq,startseq in this image we see person endseq
startseq in this image can see there are two men and woman standing and the man is holding walking stick and there are few plants tree and vehicle visible on the right and there are clouds in the sky endseq,startseq in the image see woman endseq
startseq in the image there is person standing in crane endseq,startseq in this image can see person and person endseq
startseq in front of the image there are kids holding the wooden poles in their hands endseq,startseq in this image there is person and of of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the of the
startseq in this picture can see person wearing the cap in the foreground endseq,startseq in the image can see man and people endseq
startseq in this image see woman sitting on chair while playing musical instrument endseq,startseq in this image can see person wearing wearing person and and is and and is and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and is and and
startseq in this image we can see man in blue shirt and white color sweater on which something is written and in white color pant is standing on ground and he is also wearing cap and glove endseq,startseq in this image can see few few on endseq
startseq in this picture can see man cloth to his neck it looks like machine endseq,startseq in this image can see playing playing and some and of and ground endseq
startseq in this image there are few people sitting on the chairs endseq,startseq in the image can see people and some some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some the some some
startseq in the foreground of the picture can see person skiing on the snow surface endseq,startseq this image is taken endseq
startseq in this image we can see people and some are wearing bags and walking on the footpath endseq,startseq in the image can see people endseq
startseq in front of the image there are three kids sleeping on the mat endseq,startseq in this picture we see woman wearing wearing woman endseq
startseq in the center of the image we can see women at the glass table endseq,startseq in this image see woman wearing wearing wearing and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of and of
startseq in this image we can see three woman are standing in house and they are giving pose for photo and the three women are wearing different colors of dresses and the woman in white color tshirt is holding white color cup and in the background we can see christmas tree and on the tree there are some different colors of objects and glitters and on the left hand side we can see sofa and in the sofa there are some gift items wrapped with different colors of covers and on the right hand side we can also see some other objects are placed in the wooden shelves and we can also see big wooden cupboard and in the background there are some other plants and some other objects are placed on wall and we can also see some other decorative objects also there in the room endseq,startseq in the image can see person endseq
startseq in the picture can see man on the right side sitting on the grass surface endseq,startseq in this image can see person endseq
startseq in this picture can see there are few people playing lacrosse sport and the background of the image is blurred endseq,startseq in this image can see person on on endseq
startseq in this picture can observe baby in the stroller endseq,startseq in this image can see woman wearing wearing wearing and is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the
startseq in this image there is guy and girl endseq,startseq in this image there is person wearing wearing wearing some standing endseq
startseq in this picture we can see person wearing cap and walking on the path endseq,startseq in this picture can see woman wearing wearing woman endseq
startseq in this picture can see person cleaning the floor in front endseq,startseq in this image can see person endseq
startseq this image consists of person in the air endseq,startseq this image see person on endseq
startseq in this picture we can see dog walking on big branch of tree beside there are plants and trees endseq,startseq in this picture see see dog on on on on endseq
startseq in this image we can see person wearing coat and doing pottery work endseq,startseq in this image can see person endseq
startseq in this image there is person skating with the skateboard on the road behind the person there is wall endseq,startseq in this image can see man on on on on and background see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and
startseq in this image there are few people sitting in the seats beside them there are metal poles endseq,startseq in this image we is man and man and shoes endseq
startseq in this picture can see woman in front and see that she is dancing endseq,startseq in this image can see man man standing and in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in
startseq in this picture we see the people are sitting on the chairs and two people are sitting on the floor endseq,startseq in the image can see people and people endseq
startseq in this image we can see child is sitting in crouched position and he is wearing red color dress endseq,startseq in this image can see person and wearing wearing and of and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind see and behind
startseq it looks like baseball players in orange and white color there are two players holding each other and ball here and there are standing on the ground and in the background there is board and there is logo and text on it endseq,startseq in this image can see man on on endseq
startseq in this image can see an animal red color ball in the water and can see water droplets endseq,startseq in this image can see person on on on endseq
startseq in this image can see two men in tshirts and can also see wooden podium microphone with stand wire some items wall sticker with some image and text printed on it and the background is dark endseq,startseq in this image there see person and and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and
startseq in this image we can see lady and two children in the water endseq,startseq in this image we see person endseq
startseq in this picture we can see man wearing hat and selling bread endseq,startseq in this image can see woman and woman and and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and
startseq in this image there is some object in the mouth of kid endseq,startseq in this image can see man and man and man and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is and the is
startseq in this image in the foreground there are some people who are wearing black jackets and red color head scarves endseq,startseq in this image we can see man and man endseq
startseq in this image we can see dog is coming out from yellow color dog house and on the dog house we can see some black color objects and the dog is in grass field and on the grass field we can also see some other number boards and some other different colors of slopes also and in the blurry background we can see wall endseq,startseq in this image can see person on on on on endseq
startseq this image is taken indoors endseq,startseq in this image can see man and the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the
startseq in this picture can see number of people sitting on chairs in front and can see few of them are standing endseq,startseq in the image can see person standing endseq
startseq in this picture can see there are two men standing and in the background there are few objects visible endseq,startseq in this picture see see woman wearing and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and see and
startseq in this picture can see see women in front and see that both of them are wearing same color dress endseq,startseq in the image can see person endseq
startseq in this picture can see women sitting in front and see that the woman on the left is sitting on bench and see that she is writing something on book and in front of her can see cup on table endseq,startseq in this image there is boy in wearing shoes endseq
startseq this image is taken outdoors endseq,startseq in this image we can is sitting and sitting endseq
startseq in this image there is woman in yellow color tshirt holding camera and lying on surface endseq,startseq in this image we see person wearing wearing wearing wearing wearing holding and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are and is and them are
startseq in this image there is chess board and there are chess board coins on the table endseq,startseq in this image can see wearing wearing wearing wearing and are and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and is and and see and
startseq in the image can see the view of place where we have some group of people among them lady is holding the cloth and the other guy is holding the bottle and also can see some buildings endseq,startseq in this image can see person endseq
startseq this image consists of dog playing with ball endseq,startseq in this picture see see dog like dog endseq
startseq in this picture can observe woman taking photograph of kid sitting on the toy on the right side endseq,startseq in this image can see people endseq
startseq this image is taken outdoors endseq,startseq in this image there is person wearing wearing wearing shoes endseq
startseq in this picture we can see boy swimming and throwing ball and at the edge there is brick wall some people are standing and there are chairs endseq,startseq in this image we see dogs wearing wearing dogs endseq
startseq in this picture can see two men sitting on the chairs endseq,startseq in this image can see woman and sitting endseq
startseq at the bottom of the picture we see the pavement the footpath and the chairs endseq,startseq in this image can see man on on endseq
startseq in the image can see the picture of person who is standing on the snow and holding the tree trunk and to the side there are some other trees endseq,startseq in this image can see dogs in wearing holding endseq
